Age,Salary,Buy
60,71856,1
27,80142,1
21,38726,0
37,54718,1
35,38301,0
34,52325,0
28,54438,0
26,76155,1
54,72350,1
25,67447,0
57,48746,1
47,38131,0
22,86784,1
21,84686,1
25,31915,0
33,26175,0
34,34371,0
52,40033,1
58,40969,1
21,75333,1
55,28326,0
32,70432,1
54,70019,1
46,81348,1
34,89352,1
48,52953,1
57,21504,0
37,35014,0
20,54973,0
30,64587,0
47,34621,0
41,58469,1
37,76985,1
29,40730,0
33,79470,1
41,20425,0
26,54522,0
25,85612,1
44,43416,1
26,86542,1
42,33947,0
42,59117,1
58,86540,1
36,46071,1
22,40032,0
49,69009,1
54,41174,1
27,89514,1
44,20074,0
25,62487,0
55,84042,1
38,22552,0
60,34662,0
59,67576,1
43,60306,1
56,51385,1
32,27592,0
24,51571,0
22,30322,0
34,31226,0
38,83699,1
25,29071,0
34,89822,1
26,36483,0
44,36828,0
37,82296,1
49,41643,1
60,54741,1
43,89163,1
30,75461,1
43,47760,1
42,46365,1
33,60857,0
37,72296,1
24,68944,0
58,77422,1
60,87839,1
30,79177,1
54,35860,0
35,52493,0
30,49451,0
49,28392,0
44,64313,1
37,22757,0
60,50161,1
55,48864,1
34,20942,0
40,29305,0
23,27716,0
34,50007,0
22,28834,0
40,24117,0
45,63309,1
37,29287,0
24,87391,1
33,51195,0
56,56500,1
40,83624,1
33,48080,0
51,37342,0
